kind	day	title
activity	1	Sorting the Build Box
activity	1	The Tallest Tower That Stands
activity	1	The Time Capsule
activity	2	Choosing the Box
activity	2	The Box House
activity	2	Furnishing the Box House
activity	3	Taping the Tubes
activity	3	The Ball Run
activity	3	The Bridge That Holds Teddy
activity	4	Cup Pyramids
activity	4	The Knock-Down Experiment
activity	4	The Wrecking Ball
activity	5	Rolling the Bricks
activity	5	Salt Dough Bricks
activity	5	Building the Brick Wall
activity	6	Craft stick Shapes
activity	6	The Triangle Test
activity	6	The Zip Line
activity	7	Choosing the Fort Spot
activity	7	The Blanket Fort
activity	7	Living in the Fort
activity	8	Listening to the Cupboard
activity	8	The Shaker Set
activity	8	Loud Song, Quiet Song
activity	9	Drawing on the Eggs
activity	9	The Egg Drop Record
activity	9	The Mended Egg
activity	10	Making the Five Ducks
activity	10	Over the Hill and Far Away
activity	10	The Rhyme Bag
activity	11	The Spoon and the Saucepan
activity	11	The Kitchen Drum Kit
activity	11	The Pattern You Can Hear
activity	12	Finding the Darkest Corner
activity	12	The Star Cup
activity	12	Kreston's Own Song
activity	13	Lining Up the Bears
activity	13	Roll Over, Roll Over
activity	13	The Bun Shop
activity	14	Handing Out the Instruments
activity	14	Up the Hill and Down Again
activity	14	The Whole House Parade
activity	15	Who the Song Is For
activity	15	A Verse for Each Person
activity	15	The Good Thing Jar
activity	16	The One Ticket
activity	16	The Kitchen Stage
activity	16	The One-Person Show
activity	17	The Window Count
activity	17	The Bird Cakes
activity	17	The Feeding Station
activity	18	The Job Board
activity	18	Three Real Jobs
activity	18	Soup for Two Houses
activity	19	Keep or Give
activity	19	The Giving Box
activity	19	Kreston's Posting Box
activity	20	Hands on the Table
activity	20	Finding the Right Crayon
activity	20	Three Phone Calls
activity	21	Reading the Jar
activity	21	Thank-You Cookies
activity	21	The Thank-You Cards
activity	22	Cutting the Seven Pieces
activity	22	Tangram Animals
activity	22	The Puzzle Swap
activity	23	Drawing It Onto the Card
activity	23	The Jigsaw with Words on the Back
activity	23	One Piece Each
activity	24	Closing the Boxes
activity	24	Six Ways to Open a Thing
activity	24	The Wall She Fits Through
activity	25	Filling the Tray
activity	25	What's Missing from the Tray
activity	25	The Pairs She Draws Herself
activity	26	The Basket of Everything
activity	26	Sorting It Twice
activity	26	Every Lid Has a Box
activity	27	Choosing the Secret Objects
activity	27	The Bag You Can't See Into
activity	27	Picture Clues
activity	28	Cutting the Maze Walls
activity	28	The Maze in a Tray
activity	28	The Maze You Walk
activity	29	The Stamp Hunt
activity	29	Printing the Animal Coats
activity	29	Building the Forest Family
activity	30	Tearing the Trunk
activity	30	The Tree That Fills the Wall
activity	30	The Forest Tour
activity	31	The Odds and Ends Hunt
activity	31	The Forest Floor Tray
activity	31	Moving the Animals In
activity	32	The Four Feet
activity	32	The Track Trail
activity	32	Laying a Trail for Joseph
activity	33	The Bird Menu
activity	33	What the Birds Take First
activity	33	Binoculars and the Bird Chart
activity	34	The Winter Sleepers
activity	34	The Bear Cave
activity	34	Waking the Bears
activity	35	Guess the Shadow
activity	35	The Shadow Animals
activity	35	The Puppet Show Behind the Sheet
activity	36	The Fizzing Jar
activity	36	Four Things Make Bread
activity	36	The Rolls and the Hollow Knock
activity	37	Choosing Off the Shelf
activity	37	The Recipe She Tells You
activity	37	Her Page in the Cookbook
activity	38	Punching It Down
activity	38	The Dough That Fights Back
activity	38	One Pizza Each
activity	39	Coloring the Dough
activity	39	Twelve Pretend Pastries
activity	39	The Counter Opens
activity	40	The Bath-Water Test
activity	40	The Balloon That Fills Itself
activity	40	Shaking Cream into Butter
activity	41	Numbering the Plates
activity	41	Which Bread Wins
activity	41	The Bakery Window
activity	42	The Cinnamon Butter
activity	42	The Swirl Buns
activity	42	The Four Boxes
activity	43	The Dough That Has to Wait
activity	43	Rolls for the People Next Door
activity	43	The Letterbox by the Door
activity	44	The Practice Snowflakes
activity	44	The Letter Nobody Signs
activity	44	The Letters She Hides
activity	45	Hearts Torn by Hand
activity	45	The Cards She Makes Herself
activity	45	The Table She Decorates
activity	46	Marking Where It Ends
activity	46	The Necklace with a Finish Line
activity	46	Jobs That Need Two People
activity	47	Washing What Goes on the Plates
activity	47	Plates for the People Who Live Here
activity	47	The Picnic on the Floor
activity	48	Stamps, Coins and a Sign
activity	48	The Post Office on the Table
activity	48	The Real Parcel
activity	49	Choosing Who It's For
activity	49	The Wooden Love Spoon
activity	49	Emptying the Letterbox
activity	50	Only Three Paints
activity	50	Making Green
activity	50	Where the Colors Run
activity	51	Tearing Up the Catalogue
activity	51	The Cut-Out Garden
activity	51	The Color Mailbox
activity	52	Counting What's on a Face
activity	52	Sitting for a Portrait
activity	52	The Dough Faces
activity	53	Papering the Cave
activity	53	Painting on the Cave Wall
activity	53	Paint Made of Mud
activity	54	Stringing the Loom
activity	54	Over and Under
activity	54	One Necklace Each
activity	55	Peeling the Crayons
activity	55	What's Under the Paper
activity	55	Four Doors, Four Pictures
activity	56	The Ones That Go on the Wall
activity	56	Hanging the Exhibition
activity	56	What Joseph Will Say
activity	57	The Biggest Paper in the House
activity	57	The Life-Size Azlyn
activity	57	Inside the Outline
activity	58	Ten Things That Feel Different
activity	58	The Touch Line
activity	58	The Warm Water Table
activity	59	Cutting the Tasting Plate
activity	59	The Sour Face Test
activity	59	Fixing the Lemonade
activity	60	Mixing Her Own Color
activity	60	Ten Fingers, Ten Toes
activity	60	Everybody's Fingerprints
activity	61	Two Colors of Dough
activity	61	Six Faces in the Mirror
activity	61	A Family That Stands Up
activity	62	Rolling the Paper Cones
activity	62	The Ear Trumpet Test
activity	62	The String Telephone
activity	63	Six Pots with Holes in the Lid
activity	63	The Smell Words
activity	63	The House That Smells of Oranges
activity	64	Marking Out the Ring
activity	64	The Big Top
activity	64	The Ringmaster
activity	65	Building the Soft Floor
activity	65	Six Tricks and a Bow
activity	65	The Beanbag on Her Head
activity	66	One Noise Each
activity	66	The Sound Effects Desk
activity	66	The Clown Shoes
activity	67	Lifting Everything in the Kitchen
activity	67	The Hundred-Kilo Barbell
activity	67	The Tightrope on the Floor
activity	68	The Face in the Spoon
activity	68	Four Faces on Four Plates
activity	68	The Hat That Won't Stay On
activity	69	The Slowest Thing in the Room
activity	69	One Scarf, Then Two
activity	69	The Ticket Booth
activity	70	The Running Order
activity	70	The Poster with Her on It
activity	70	The Show Under the Big Top
activity	71	The Plant Inside the Bean
activity	71	The Windowsill Garden
activity	71	The Potato in a Bucket
activity	72	Twelve Empty Cups
activity	72	No Two the Same
activity	72	Labels for Everything
activity	73	Soft, Softer, Softest
activity	73	The Nest on the Table
activity	73	The Nest You Can Sit In
activity	74	Retiring the Saucepan
activity	74	Building the Mud Kitchen
activity	74	The First Mud Dinner
activity	75	Turning Out the Ice Block
activity	75	Freeing What's Frozen
activity	75	The Paper Rainbow
activity	76	The Shiniest Things in the House
activity	76	The Leprechaun Trap
activity	76	Soda Bread with No Waiting
activity	77	Three Socks and a Basket
activity	77	Slow Things First
activity	77	The Sandwich She Grew
activity	78	Five Stations on the Floor
activity	78	The Newborn Legs Course
activity	78	When Azlyn Was New
activity	79	Which Animal Says That
activity	79	Three Socks, Three Babies
activity	79	The Lost Baby Game
activity	80	Counting Out the Mouths
activity	80	Breakfast for Eight Animals
activity	80	Mashing Banana for Kreston
activity	81	The Badge and the Clipboard
activity	81	The Nursery She Runs
activity	81	You Do Exactly What She Says
activity	82	Seven Things on the Tray
activity	82	Choosing Three for the Nest
activity	82	A Nest for Every Small Thing
activity	83	The Pot That Went Pale
activity	83	Roots Against the Glass
activity	83	The Windowsill Row
activity	84	Twelve Blank Cards
activity	84	The Baby and the Grown-Up
activity	84	The Letter to Kreston Next Spring
activity	85	Tearing the Grass
activity	85	The Nest You Can Dig In
activity	85	The Nest That Holds Five Eggs
activity	86	Cutting the Ears
activity	86	A Rabbit for the Day
activity	86	The Basket with Her Name On
activity	87	Following the Trail
activity	87	The Fizzing Egg Dye
activity	87	The Egg Roll Race
activity	88	Twelve Little Parcels
activity	88	The Hunt She Hides
activity	88	Hair That Takes a Week
activity	89	Guessing Before the Water
activity	89	The Egg That Learns to Float
activity	89	Raw Egg, Cooked Egg
activity	90	Twenty Animals on the Table
activity	90	Hatched or Not Hatched
activity	90	A Page for Every Animal
activity	91	Five Things Are Wrong
activity	91	Three Tricks for Joseph
activity	91	The Longest Line in the House
activity	92	One Egg Each
activity	92	The Spring New Year Table
activity	92	The Spring Questions
activity	93	Squeezing the Egg
activity	93	The Books on the Eggshells
activity	93	Permission to Smash
activity	94	No Hands Allowed
activity	94	The Penguin Shuffle
activity	94	Four Kinds of Beak
activity	95	Rinsing Off the Shell
activity	95	The Egg With No Shell
activity	95	The April Handprint
activity	96	Six Eggs on One Sheet
activity	96	From Hummingbird to Ostrich
activity	96	Feathers, Scales and Six Legs
activity	97	The Invisible Drawing
activity	97	The Lines the Dye Can't Cross
activity	97	The Jar That Won't Mix
activity	98	Two Bowls, Two Forks
activity	98	Tamagoyaki, Twice
activity	98	The Book of What Happened
activity	99	Clipping Out the Square
activity	99	Everything in the Square
activity	99	The Worm Jar
activity	100	Every Pot in the House
activity	100	Which One Holds More
activity	100	The Coat Hanger Scales
activity	101	Three Jars of Color
activity	101	The Celery That Turns Blue
activity	101	The Bundle of Straws
activity	102	Could This Grow?
activity	102	The Garden of Silly Things
activity	102	The Story of What Came Up
activity	103	Everyone Who Needs Something
activity	103	Azlyn's Watering Round
activity	103	Seed to Sunflower and Back
activity	104	The Sky at Eight
activity	104	The Weather Station by the Door
activity	104	Rain in a Jar
activity	105	Picking the Dandelion Clocks
activity	105	Which Seeds Can Fly
activity	105	Grass Blown Through a Straw
activity	106	The Watching Seat
activity	106	The Tally at the Glass
activity	106	The Animals on the Glass
activity	107	The Crayon on Its Side
activity	107	The Tree with Her String On It
activity	107	The House in String
activity	108	Three Coats and a Drop of Water
activity	108	The Duck That Stays Dry
activity	108	Eight Ways Across the Room
activity	109	The Tilted Tray
activity	109	The Dam That Holds
activity	109	Bursting It on Purpose
activity	110	Here or Far Away
activity	110	The Long Grass
activity	110	The Waterhole on the Floor
activity	111	Three Things That Match
activity	111	The Lizards That Vanish
activity	111	The Hide by the Window
activity	112	Picking It Up Without Hands
activity	112	One Street, One Bag
activity	112	The Wild Corner
activity	113	The Pile on the Sheet
activity	113	Sorting by What It's Made Of
activity	113	The Cloth That Wraps Anything
activity	114	The Map from Bin to Truck
activity	114	The Recycling Truck
activity	114	The Trash Round
activity	115	Five Words for One Bottle
activity	115	Bendy, See-Through, Floats
activity	115	Boats from the Bin
activity	116	Soaking the Junk Mail
activity	116	Turning Paper Back into Mush
activity	116	Pressing the Petal Sheets
activity	117	Emptying the Cap Jar
activity	117	Ten Caps to a Cup
activity	117	The Picture Made of Lids
activity	118	What Goes in the Jars
activity	118	The Rot Jars
activity	118	The Bottle Filter
activity	119	Digging for Worms
activity	119	The Worm Tower
activity	119	Three Wrappers Round One Cookie
activity	120	Taking a Flower to Pieces
activity	120	Perfume in a Jam Jar
activity	120	Bashing the Color Out of the Petals
activity	121	Cutting the Fair Shares
activity	121	The Butterfly Plate
activity	121	A Butterfly for Every Person
activity	122	One Sheet, Eight Pages
activity	122	Four Sticks and a Piece of String
activity	122	The Flower That Opens on the Water
activity	123	Sieving the Soil
activity	123	Seed Balls for the Bare Patch
activity	123	Carrying the Pollen
activity	124	Rolling the Little Rooms
activity	124	The Bug Hotel by the Fence
activity	124	Two Snails and a Wet Tray
activity	125	Six Boxes and a Picture Each
activity	125	The Big Bug Count
activity	125	Turning the Marks into a Picture
activity	126	Scrubbing the Pebbles
activity	126	The Jar That Waters Itself
activity	126	Flowers Between Two Pieces of Tape
activity	127	The Cardboard Viewfinder
activity	127	Her Turn With the Camera
activity	127	The World From Kreston's Height
activity	128	What Everybody Loves to Eat
activity	128	The Plate With Everybody On It
activity	128	Everybody's Name on a Card
activity	129	The Tray She Carries In
activity	129	The Card That Gets Made Every May
activity	129	The Cake She Ices Herself
activity	130	Everything Out on the Towel
activity	130	The Twins in the Tin
activity	130	The Box of Things Nobody Throws Away
activity	131	What Needs Eating First
activity	131	The Use-It-Up Fritters
activity	131	The Mending Pile
activity	132	The Table With No Instructions
activity	132	A Present for Kreston
activity	132	Everything He's Allowed to Chew
activity	133	Pulling the Sheets Off
activity	133	The Wet Basket and the Line
activity	133	Clean Sheets on Every Bed
activity	134	The Bubble Mix That Has to Rest
activity	134	Every Wand Makes a Round Bubble
activity	134	The Grocery bag Kite
activity	135	Lining the Box with Foil
activity	135	The Oven with No Plug
activity	135	The Chalk Clock
activity	136	Hunting the Broken Things
activity	136	The Fix-It Bench
activity	136	Inside the Broken Flashlight
activity	137	Ten Things Smaller Than Her Thumb
activity	137	The Water Drop Magnifier
activity	137	The Leaf as Big as the Paper
activity	138	Folding the Paper Down the Middle
activity	138	The Paint That Copies Itself
activity	138	Half a Thing in the Mirror
activity	139	The Chalk Line Round the Water
activity	139	Where the Puddle Goes
activity	139	Rain Under the Plastic wrap
activity	140	Sleeves Rolled and Pinned
activity	140	The Three Stations
activity	140	The Sandwich Line
activity	141	Ten Symbols, One Winner
activity	141	The Cape That Fits Her
activity	141	The Shield That Matches the Cape
activity	142	Stranded on the Living Room Floor
activity	142	The Lifting Machine
activity	142	The Flood on the Patio
activity	143	The List of Who Helps
activity	143	Foil Medals on Wool
activity	143	The Ceremony on the Doorstep
activity	144	The Bowl of Ice on the Table
activity	144	Six Hard Things in a Row
activity	144	The Chart with a Row for Kreston
activity	145	The Noise Ladder
activity	145	The Test Button She Presses Herself
activity	145	Her Hands on the Vacuum
activity	146	Wristbands for the Patients
activity	146	The Sick Bay on the Sofa
activity	146	The Bed on the Floor with a Bell
activity	147	Ten Cards the Same Size
activity	147	A Card for Everyone Who Turns Up
activity	147	The Box the Whole Week Goes In
activity	148	The Doorstep List
activity	148	The Street on the Floor
activity	148	The Doors That Open
activity	149	Spreading Out the Photographs
activity	149	Who Belongs to Who
activity	149	Finding Everybody Again
activity	150	Picking the Person
activity	150	The Jar That Bakes Later
activity	150	Delivering It Without Telling
activity	151	Older Than Her
activity	151	Three Stories from Before
activity	151	The Remembering Shelf
activity	152	The Jobs Done Before She Woke Up
activity	152	Azlyn Does Kreston's Morning
activity	152	The Cold Water Box by the Door
activity	153	Who Isn't Here
activity	153	The Call with Jobs In It
activity	153	Their Room and Ours
activity	154	Telling the Week Back
activity	154	The Week in Seven Pictures
activity	154	Sealing Up May
activity	155	White Changes Everything
activity	155	Five Steps from Red to Pink
activity	155	The Summer Color Board
activity	156	Choosing Kreston's Color
activity	156	The Smash Cake
activity	156	One Candle, One Year
activity	157	Cracking Out the Cubes
activity	157	Ice Painting on the Path
activity	157	Five Blue, Two Red
activity	158	One Drop at a Time
activity	158	Every Drop Makes a Circle
activity	158	Spinning the Colors Away
activity	159	Picking the Flat Things
activity	159	The Paper Left in the Sun
activity	159	What the Sun Left Behind
activity	160	Straining the Purple Water
activity	160	The Water That Turns Pink
activity	160	Pouring Color into Color
activity	161	The Smallest Pieces She Can Tear
activity	161	The Colors That Jump
activity	161	Ribbons Where the Wind Is
activity	162	The Bottle That Won't Go Under
activity	162	Teddy's Life Jacket
activity	162	The Starfish Outline
activity	163	The Powers She Gives Herself
activity	163	The Bubble Breath Test
activity	163	The Sponge Pump
activity	164	The Whistle and What It Means
activity	164	The Lifeguard Chair
activity	164	The Pool That Opens at One O'Clock
activity	165	Hunting for the Longest Thing
activity	165	The Teddy in the Deep End
activity	165	Her Name and Her Loud Voice
activity	166	Four Places With Water In Them
activity	166	The What-If Pile
activity	166	The Swim Bag She Packs Herself
